issuer_clean,form_type,filed_date,issuer_type,sector_hint,operating_company_score,url
INFIN8 Inc.,D,2026-06-05,Likely operating company,Other / unclear,0.6981182217043836,https://www.sec.gov/Archives/edgar/data/2135230/000213523026000001/0002135230-26-000001-index.htm
"Water Es Vida Technologies, Inc.",D,2026-06-05,Likely operating company,Technology / analytics,0.6981182217043836,https://www.sec.gov/Archives/edgar/data/2138765/000213876526000001/0002138765-26-000001-index.htm
"Spine BioPharma, Inc.",D,2026-06-05,Likely operating company,Health / industrial science,0.6981182217043835,https://www.sec.gov/Archives/edgar/data/1852647/000185264726000002/0001852647-26-000002-index.htm
"Cagent Vascular, Inc.",D,2026-06-05,Likely operating company,Other / unclear,0.6981182217043835,https://www.sec.gov/Archives/edgar/data/1612011/000161201126000002/0001612011-26-000002-index.htm
"Aqua Membranes, Inc.",D,2026-06-05,Likely operating company,Health / industrial science,0.6981182217043835,https://www.sec.gov/Archives/edgar/data/1766705/000176670526000002/0001766705-26-000002-index.htm
"Aqua Membranes, Inc.",D,2026-06-05,Likely operating company,Health / industrial science,0.6981182217043835,https://www.sec.gov/Archives/edgar/data/1766705/000176670526000001/0001766705-26-000001-index.htm
SignalCraft Analytics Group Inc.,D,2026-06-05,Likely operating company,Technology / analytics,0.6945106584205674,https://www.sec.gov/Archives/edgar/data/2109930/000210993026000001/0002109930-26-000001-index.htm
"Partners Group European Direct Lending Strategy Delaware Levered (USD), L.P.",D,2026-06-05,Investment fund,Investment / finance,0.4262479578973884,https://www.sec.gov/Archives/edgar/data/2129498/000212949826000001/0002129498-26-000001-index.htm
"PG San Antonio OZ, L.P.",D/A,2026-06-05,Investment fund,Other / unclear,0.3968976657806095,https://www.sec.gov/Archives/edgar/data/2009271/000200927126000006/0002009271-26-000006-index.htm
German-Immo Inc,D,2026-06-05,Likely operating company,Other / unclear,0.3968976657806095,https://www.sec.gov/Archives/edgar/data/2139303/000213930326000001/0002139303-26-000001-index.htm
"ECHO Realty, L.P.",D,2026-06-05,Investment fund,Other / unclear,0.3968976657806095,https://www.sec.gov/Archives/edgar/data/2138603/000213860326000001/0002138603-26-000001-index.htm
MT BASE INC.,D,2026-06-05,Likely operating company,Other / unclear,0.3968976657806095,https://www.sec.gov/Archives/edgar/data/2137908/000213790826000001/0002137908-26-000001-index.htm
"Insula Capital Group, LLC",D/A,2026-06-05,Investment fund,Investment / finance,0.352794541552962,https://www.sec.gov/Archives/edgar/data/1637488/000163748826000003/0001637488-26-000003-index.htm
"General Atlantic (AG) Bermuda Coinvest, L.P.",D,2026-06-05,Investment fund,Other / unclear,0.35023280843408805,https://www.sec.gov/Archives/edgar/data/2111319/000095014226001656/0000950142-26-001656-index.htm
"Green Exchange, PBC",D,2026-06-05,Other private issuer,Other / unclear,0.35023280843408805,https://www.sec.gov/Archives/edgar/data/1959610/000195961026000007/0001959610-26-000007-index.htm
"Golden Eagle Opportunities, L.P.",D,2026-06-05,Investment fund,Other / unclear,0.3452945996426582,https://www.sec.gov/Archives/edgar/data/2127711/000212771126000001/0002127711-26-000001-index.htm
Husky Co-Invest E3 L.P.,D,2026-06-05,Investment fund,Other / unclear,0.34459847279583483,https://www.sec.gov/Archives/edgar/data/2135104/000213510426000001/0002135104-26-000001-index.htm
Astorg VIII Co-Invest Clementine,D/A,2026-06-05,Other private issuer,Other / unclear,0.3445984727958348,https://www.sec.gov/Archives/edgar/data/2138249/000213824926000002/0002138249-26-000002-index.htm
"TRUCK CAPITAL OFFSHORE, LTD.",D/A,2026-06-05,Investment fund,Investment / finance,0.34259034511376185,https://www.sec.gov/Archives/edgar/data/1646412/000091957426003888/0000919574-26-003888-index.htm
Unless Alpha Access LP,D/A,2026-06-05,Investment fund,Other / unclear,0.3389679570470569,https://www.sec.gov/Archives/edgar/data/2002867/000200286726000001/0002002867-26-000001-index.htm
"BVG RCX Investor, LP",D,2026-06-05,Investment fund,Other / unclear,0.3377885931594678,https://www.sec.gov/Archives/edgar/data/2138144/000090514826002818/0000905148-26-002818-index.htm
Atlas Capital Ex INC.,D,2026-06-05,Investment fund,Investment / finance,0.3321144062191532,https://www.sec.gov/Archives/edgar/data/2137939/000213793926000001/0002137939-26-000001-index.htm
Rockefeller Ledgebrook LP,D,2026-06-05,Investment fund,Other / unclear,0.33049953004773014,https://www.sec.gov/Archives/edgar/data/2136567/000213656726000001/0002136567-26-000001-index.htm
"NORD TIMMS HILL, LLC",D,2026-06-05,Other private issuer,Other / unclear,0.3301433975499432,https://www.sec.gov/Archives/edgar/data/2138289/000213828926000001/0002138289-26-000001-index.htm
"VIDOR-TX PROPERTY, LLC",D,2026-06-05,Real estate / SPV,Real estate / storage,0.3301433975499432,https://www.sec.gov/Archives/edgar/data/2138874/000213887426000001/0002138874-26-000001-index.htm
